function_name,category,fixture_id,jpl_status,moshier_status,vsop_elp_meeus_status,jpl_elapsed_ns,moshier_elapsed_ns,vsop_elp_meeus_elapsed_ns,jpl_output_sha256,moshier_output_sha256,vsop_elp_meeus_output_sha256,jpl_vs_moshier_relation,jpl_vs_vsop_relation,moshier_vs_vsop_relation,max_abs_diff_if_numeric,max_rel_diff_if_numeric,notes
jme_gauquelin_sector,engine_sensitive,modern_bhuj_standard,ERROR_JPL_UNAVAILABLE,OK,OK,341260,640254,1327330,4d5cc6205a9d52f375961471a58cc0c8f2db8ee5b6f6692504d28dd8a481fe72,5701803e41029991ec1b7fe2dba80030b77ccb089e8864eed5f66235af898c73,aa4da2e325f92d900bc5d279840ec624d8cf86be22f8e575194bc5209fc77ac1,ERROR_ONE_SIDE,ERROR_ONE_SIDE,DIFFERENT_STRUCTURE,,,
jme_get_astro_models,engine_invariant,modern_bhuj_standard,OK,OK,OK,159947,146660,252359,6b628f98c61313328b8e93d371109261ca19b5e2964db380c8f83560e4e9e13a,9994fa821c834bfc039bee330fb03d7fb4d45589f52dcb2c027ac27a03d9714f,97888ef14f65ccd41263c279ad5bc4ef1aaa56d465011d34d810140213ea185e,DIFFERENT_STRUCTURE,DIFFERENT_STRUCTURE,DIFFERENT_STRUCTURE,,,
jme_get_ayanamsa,engine_invariant,modern_bhuj_standard,OK,OK,OK,184499,382843,190255,37bbdbfb5ce33aec57cd783fe6e337faa139a3836928135972366f23aefdf3dd,0180e159879308f52e0e156118dc454102875721a88c9f0312407a694b642a86,e38285503718b700336363f793b96f2e8c1bee84467784b1516671fc8a5a020e,DIFFERENT_STRUCTURE,DIFFERENT_STRUCTURE,DIFFERENT_STRUCTURE,,,
jme_get_ayanamsa_ex,engine_invariant,modern_bhuj_standard,OK,OK,OK,192172,181372,190720,5b7d616536abf5f76628b625aa0726fb13bf12847faa7d817d88d24defc66a20,8d9c9f1b0497f1954cd47c00ff7e581a5251d931fc173e2791b6d5f95304fddc,3fb3e4d283d17f56bc5b2461378fd2e3406a39527521356ab22fd71460b23629,DIFFERENT_STRUCTURE,DIFFERENT_STRUCTURE,DIFFERENT_STRUCTURE,,,
jme_get_ayanamsa_ex_ut,engine_invariant,modern_bhuj_standard,OK,OK,OK,254936,199898,195644,4f4ce034e1d74980250795422911ef0e38d131c1f3ff030e7d7a1a3e8daa60da,37df7a14f66abb211c5e61a6968d31ab65b02a576b68a96b7500ebec9f303932,b89305159d2a8a45caca86079a6c5ff7f8f5bd31487e2b279b709e71d6246c48,DIFFERENT_STRUCTURE,DIFFERENT_STRUCTURE,DIFFERENT_STRUCTURE,,,
jme_get_ayanamsa_name,engine_invariant,modern_bhuj_standard,OK,OK,OK,160867,157163,154596,cd04c8ac76b786670ba50173b77088cc0e17b95b50a2198183e55069ec5d8803,080be3e6743ba318056cdfb04c434533c18d46491fe48764bdc1ed0cdb267353,b98dc0212b63a403f8470e7478cec0a63cb95bdf8ce28b991d379231bb03480a,DIFFERENT_STRUCTURE,DIFFERENT_STRUCTURE,DIFFERENT_STRUCTURE,,,
jme_get_ayanamsa_ut,engine_invariant,modern_bhuj_standard,OK,OK,OK,194991,191719,190867,442f8d99cc39903e31b43b0b09b2a0a4a7656ee8d540729a50f6ed94a239d3b8,bc7f467392f00cffce7473b3c3cbba2d62f783e6d5e5649e611a19f3dbd92c6b,6e78bb0c766b319a37855ca1daf1fa80de0255dd8371e4c63d1df04adc3c35cb,DIFFERENT_STRUCTURE,DIFFERENT_STRUCTURE,DIFFERENT_STRUCTURE,,,
jme_get_frame_bias_matrix,engine_invariant,modern_bhuj_standard,OK,OK,OK,189650,151759,151591,ca0204e7af49ff2a54e2e3ed63210d07baece8d13fd8ca0fcbb16b3cb3ce5fb5,d8d5b17cb218eee1dfb2054feedbe3069ab6cea03fb9473058aa9cf786d3d9df,1babb05776809b8b4121f648f263f10c93126cec0c6a6992edec2b534ed111e9,DIFFERENT_STRUCTURE,DIFFERENT_STRUCTURE,DIFFERENT_STRUCTURE,,,
jme_get_nutation,engine_invariant,modern_bhuj_standard,OK,OK,OK,232862,234059,241329,1bce1a3e83133c1419703e6241dd2855c09c6474da29cec5cc93f1aa94136be7,5412edaad35cac1e1e748dddce6939e38bbbf6e3fa53f62cf2351ec666165c37,4d6ca2421aeff206a863d5f56decb5f8ad9445bd8bcec09bc089c8370f8afdb8,DIFFERENT_STRUCTURE,DIFFERENT_STRUCTURE,DIFFERENT_STRUCTURE,,,
jme_get_nutation_matrix,engine_invariant,modern_bhuj_standard,OK,OK,OK,265834,181423,189547,dd359d69fb01e49185d6eaf831c9deac120e9f2632118ae1b34837ffa3e55f6a,575c0811bb996e3248d296203d3fd41e64d1d26c60e02becc51639b1ff1bc4fd,2e2b6fa7e644dfa197bfb459529e7ce5e241578a0e63173cebed5834a98ed941,DIFFERENT_STRUCTURE,DIFFERENT_STRUCTURE,DIFFERENT_STRUCTURE,,,
jme_get_obliquity,engine_invariant,modern_bhuj_standard,OK,OK,OK,185057,339220,276531,a13f6cfe8e18aee553f2f1371414b3a00d75e34889816869560cac3ec6cf5169,a18002e442536fa25023355bf316a70c7733388d49e14ffa36f9964e51f0f2d8,0785e0dbaf957b6b5ac107ab8dca4c895fa490fc505736920da0d9eefd64055a,DIFFERENT_STRUCTURE,DIFFERENT_STRUCTURE,DIFFERENT_STRUCTURE,,,
jme_get_orbital_elements,engine_sensitive,modern_bhuj_standard,ERROR_JPL_UNAVAILABLE,OK,OK,559363,552453,2306935,554d4a1503ff66142ec7ad646e809cb0d8d616ff49b32570ae0ffe53e0ab60b1,7fb2d51a226b3ca352353b1780f9392490af92f62bea1df9b2ab93582a6b22fe,20dfee27783a99a30bcce042a0fe3190645049ecd39aae711fc3d10195783d1d,ERROR_ONE_SIDE,ERROR_ONE_SIDE,DIFFERENT_STRUCTURE,,,
jme_get_precession_matrix,engine_invariant,modern_bhuj_standard,OK,OK,OK,163959,224001,152269,7b3b39db8f1335d1759a9250aed14f0a101b29bc897060ea3e9ae31129a5b0ce,4669596d47b238034fdb4b0948c91f6550e95552cc85cedb203d2d734f28dccb,c4adc4354399963ceea2daa3f0f80b2d627529bbee1d9fc55049b9491246c698,DIFFERENT_STRUCTURE,DIFFERENT_STRUCTURE,DIFFERENT_STRUCTURE,,,
